,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_questions,consequent_questions,support_pct,confidence_pct
0,frozenset({'Q91_Alter'}),frozenset({'Q91_Bildungsstatus'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[91],[91],100.0,100.0
3294606,"frozenset({'Q99_Zuf. Aktive Betreuung.2', 'Q108_Personen im Haushalt.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[99, 108]",[30],100.0,100.0
3294604,frozenset({'Q108_Personen im Haushalt.2'}),"frozenset({'Q98_Zuf. Aktive Betreuung', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[98, 30]",100.0,100.0
3294603,frozenset({'Q98_Zuf. Aktive Betreuung'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[98],"[108, 30]",100.0,100.0
3294602,"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q98_Zuf. Aktive Betreuung'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 30]",[98],100.0,100.0
3294601,"frozenset({'Q98_Zuf. Aktive Betreuung', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Personen im Haushalt.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[98, 30]",[108],100.0,100.0
3294600,"frozenset({'Q108_Personen im Haushalt.2', 'Q98_Zuf. Aktive Betreuung'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 98]",[30],100.0,100.0
3294599,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q98_Bevorzugung stationäre Geschäfte vor Onlineshops.2', 'Q108_Personen im Haushalt.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[98, 108]",100.0,100.0
3294598,frozenset({'Q108_Personen im Haushalt.2'}),"frozenset({'Q98_Bevorzugung stationäre Geschäfte vor Onlineshops.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[98, 30]",100.0,100.0
3294597,frozenset({'Q98_Bevorzugung stationäre Geschäfte vor Onlineshops.2'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[98],"[108, 30]",100.0,100.0
