,support,itemsets,support_pct
0,1.0,frozenset({'Q91_Alter'}),100.0
555678,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q62_BIK-Stadtregion (in Tausend).4'})",100.0
555668,1.0,"frozenset({'Q58_Nutzung quad Video-/Onlineberatung', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555669,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q59_BKK (Fortsetzung).8'})",100.0
555670,1.0,"frozenset({'Q59_Geschlecht', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555671,1.0,"frozenset({'Q23_Bundesländer.4', 'Q59_Geschlecht.1', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555672,1.0,"frozenset({'Q89_BKK', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555673,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q89_BKK.5'})",100.0
555674,1.0,"frozenset({'Q23_Bundesländer.4', 'Q89_BKK (Fortsetzung).17', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555675,1.0,"frozenset({'Q76_94.55611866412475', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555676,1.0,"frozenset({'Q23_Bundesländer.4', 'Q76_83.2695611882146', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555677,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q76_80.46947200696766'})",100.0
555679,1.0,"frozenset({'Q62_Beruf.1', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555691,1.0,"frozenset({'Q116_Wohnsituation', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555680,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q62_Bundesländer.5'})",100.0
555681,1.0,"frozenset({'Q77_20.967204025320665', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555682,1.0,"frozenset({'Q77_48.75560286184606', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555683,1.0,"frozenset({'Q77_30.573116001834602', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555684,1.0,"frozenset({'Q88_Alter.5', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555685,1.0,"frozenset({'Q88_Nutzung Smartphone.1', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555686,1.0,"frozenset({'Q88_Berufstätigkeit des Befragten.2', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555687,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q102_Dauer der Kundenbeziehung.5'})",100.0
555688,1.0,"frozenset({'Q102_Geschlecht.1', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555689,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q116_Alter.1'})",100.0
555667,1.0,"frozenset({'Q58_Kontaktaufn.: Videotelefonie', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555666,1.0,"frozenset({'Q58_Reklamationszufriedenheit', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555665,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q70_64.20520686777013'})",100.0
555664,1.0,"frozenset({'Q70_61.777600178356806', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555643,1.0,"frozenset({'Q9_Kunden-begeisterung', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555644,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q9_Legt Wert auf Nachhaltigkeit'})",100.0
555645,1.0,"frozenset({'Q29_Personen im Haushalt.3', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555646,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q29_BIK-Stadtregion (in Tausend)'})",100.0
555647,1.0,"frozenset({'Q29_Nutzung quad Newsletter', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555648,1.0,"frozenset({'Q23_Bundesländer.4', 'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555649,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",100.0
555650,1.0,"frozenset({'Q108_Beruf', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555651,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q109_BIK-Stadtregion (in Tausend)'})",100.0
555652,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q109_Anzahl Endgeräte für Internetnutzung.3'})",100.0
555653,1.0,"frozenset({'Q23_Bundesländer.4', 'Q109_Digitalisierung ist eher positiv als negativ', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555654,1.0,"frozenset({'Q28_Zuf. Schnelligkeit der Bearbeitung.1', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555655,1.0,"frozenset({'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1', 'Q28_Nutzung quad persönl. Kundenbereich.1'})",100.0
555656,1.0,"frozenset({'Q28_Berufstätigkeit des Befragten.4', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555657,1.0,"frozenset({'Q98_Haushaltstypologie.4', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555658,1.0,"frozenset({'Q98_Bevorzugung stationäre Geschäfte vor Onlineshops.2', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555659,1.0,"frozenset({'Q23_Bundesländer.4', 'Q98_Zuf. Aktive Betreuung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555660,1.0,"frozenset({'Q99_Zuf. Aktive Betreuung.2', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555661,1.0,"frozenset({'Q99_Gesetzliche Krankenkasse.2', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555662,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q23_Bundesländer.4', 'Q99_Vergleich Kassensysteme.1'})",100.0
555663,1.0,"frozenset({'Q70_63.89293945455572', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555690,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q116_Arbeitswochenstunden', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555692,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q117_Anzahl Endgeräte für Internetnutzung.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555641,1.0,"frozenset({'Q133_Bildungsstatus', 'Q23_Bundesländer.4', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555729,1.0,"frozenset({'Q133_BKK (Fortsetzung).13', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555719,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q131_Bildungsstatus.2'})",100.0
555720,1.0,"frozenset({'Q131_Berufstätigkeit des Befragten.3', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555721,1.0,"frozenset({'Q131_Haushaltsnettoeinkommen in Euro', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555722,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q130_Kontaktaufn.: Videotelefonie', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555723,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q130_Berufstätigkeit des Befragten.3'})",100.0
555724,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q130_Alter'})",100.0
555725,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Nielsengebiete'})",100.0
555726,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Verhältnis zu sozialen Medien.2'})",100.0
555727,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1', 'Q132_Nutzung Payback'})",100.0
555728,1.0,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q133_Kontaktaufn.: Kontaktformular Website'})",100.0
555730,1.0,"frozenset({'Q133_Bildungsstatus', 'Q102_Anzahl Endgeräte für Internetnutzung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555693,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q117_Anzahl Endgeräte für Internetnutzung.3', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555731,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q9_Net Promoter Score', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
555732,1.0,"frozenset({'Q102_Anzahl Endgeräte für Internetnutzung', 'Q9_Kunden-begeisterung', 'Q30_Berufstätigkeit des Befragten.1'})",100.0
